distribuidora;cliente;preventista;supervisor;supervisorpepsico;jefedeventas;gerente;dueno;tipo;taxo;portafolio;exhibidores;planograma;preciosvisibles;rotacionpreventiva;porcentajetiendaperfecta;tiendaperfecta;validacion;idtienda
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;71;0;0;55001
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;71;0;0;55002
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;65;0;0;55003
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;B;0;1;1;1;1;80;0;0;55004
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;67;0;0;55005
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;72;0;0;55006
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;0;1;1;65;0;0;55007
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;1;1;57;0;0;55008
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;60;0;0;55009
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;67;0;0;55010
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;1;0;1;72;0;0;55011
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;1;1;63;0;0;55012
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;B;0;1;0;1;1;68;0;0;55013
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;1;1;1;76;0;0;55014
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;62;0;0;55015
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;60;0;0;55016
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;19;0;0;55017
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;49;0;0;55018
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;1;1;1;76;0;0;55019
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;1;1;1;74;0;0;55020
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;0;0;0;0;17;0;0;55021
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;A;0;1;1;1;1;81;0;0;55022
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;B;0;1;0;1;1;70;0;0;55023
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;1;1;60;0;0;55024
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;1;41;0;0;55025
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;71;0;0;55026
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;63;0;0;55027
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;1;0;1;65;0;0;55028
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;16;0;0;55029
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;0;0;0;0;14;0;0;55030
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;0;1;55;0;0;55031
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;0;1;1;64;0;0;55032
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;1;29;0;0;55033
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;1;1;1;73;0;0;55034
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;51;0;0;55035
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;53;0;0;55036
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;64;0;0;55037
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;1;1;59;0;0;55038
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;55;0;0;55039
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;1;1;65;0;0;55040
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;1;28;0;0;55041
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;61;0;0;55042
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;61;0;0;55043
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;69;0;0;55044
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;54;0;0;55045
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;1;1;1;82;0;0;55046
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;B;0;1;0;1;1;60;0;0;55047
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;B;0;1;1;1;1;82;0;0;55048
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;A;0;1;1;1;1;86;0;0;55049
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;B;0;1;1;1;1;84;0;0;55050
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;10;0;0;55051
